time,closedPnL,leverage,size,Date,timestamp,value,classification
2024-03-12 15:22:00,100.413915,82.02,742.41,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,122.416134,100.0,905.15,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,61.208067,50.0,452.58,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,4.780606,3.91,35.39,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,12.226614,10.0,90.5,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,702.455615,574.53,5199.5,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,110.026636,90.1,815.27,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,100.151451,82.02,742.15,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,175.885092,144.09,1303.73,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,243.812267,200.0,1809.28,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,99.897189,82.02,741.9,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,8.631801,7.09,64.13,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,60.788067,50.0,452.16,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,99.634725,82.02,741.63,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,325.738252,268.15,2424.64,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,36.51907,30.09,272.04,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,1822.714868,1503.07,13587.75,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,67.933288,56.02,506.42,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,81.24831,67.0,605.68,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,11.971214,9.88,89.31,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,11.98,2761.51,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,3.66,843.7,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,11.98,2761.75,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,11.98,2761.99,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,11.98,2762.23,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,16.01,3691.59,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,15.53,3580.91,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,15.27,3521.41,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,14.21,3276.97,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,4.52,1042.4,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,15.4,3551.7,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,53.25,12284.77,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,9.83,2267.98,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,4.26,983.12,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,148.07,34174.56,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,84.75,19561.15,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,33.93,7831.38,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,9.83,2269.16,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 19:38:00,0.0,23.56,5438.59,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,139.418262,14.78,3584.0,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,81.421585,8.65,2097.37,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,128.537643,13.67,3314.43,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,0.563574,0.06,14.55,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,34.234672,3.68,891.88,2024-03-12,1710221400,81,Extreme Greed
